wk_strt_dt,sales,Direct Mail,Insert,Newspaper,Online Display,Radio,Social Media,TV,hldy_Black Friday,hldy_Christmas Day,hldy_Christmas Eve,hldy_Columbus Day,hldy_Cyber Monday,hldy_Day after Christmas,hldy_Easter,hldy_Father's Day,hldy_Green Monday,hldy_July 4th,hldy_Labor Day,hldy_MLK,hldy_Memorial Day,hldy_Mother's Day,hldy_NYE,hldy_New Year's Day,hldy_Pre Thanksgiving,hldy_Presidents Day,hldy_Prime Day,hldy_Thanksgiving,hldy_Valentine's Day,hldy_Veterans Day
2015-09-13,112460364.61,714537.48,31877.37,376522.08,240449.22,110210.79,44062.99,252803.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,107150458.33,1897878.96,31301.49,210309.57,254665.18,215694.02,24097.95,169441.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,123170786.72,1594548.49,90190.54,200693.89,224793.47,118363.54,35081.44,115539.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,76517878.52,343567.8,78480.18,445241.11,140659.93,180735.41,58472.89,223899.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,75542501.16,52944.7,79698.95,408122.85,150855.55,108876.61,62860.31,196895.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,78365992.28,901385.65,63215.49,375883.47,194449.76,81914.55,53460.31,178526.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-25,61719457.56,622406.85,26686.18,304628.15,90629.35,135149.5,51060.31,5742.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,67286939.96,831198.5,60939.19,355762.38,212882.85,156315.82,70799.44,65769.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-08,132782210.09,822796.09,77650.78,473359.34,177767.77,126195.5,133577.25,150792.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-11-15,95659079.48,898061.89,72104.47,599763.6,163817.12,255712.74,156100.75,183583.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-22,259620027.42,1211105.75,264412.52,488971.65,426266.91,145388.82,413630.65,593434.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2015-11-29,271343341.94,17615.04,108879.89,880345.39,371064.01,121465.95,200107.26,228312.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-06,149972976.88,1286040.13,99368.37,1631997.04,229607.89,177087.25,135657.9,598284.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-13,294528174.25,1500259.96,316186.53,1592941.44,409647.23,435614.54,212824.77,1100083.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-20,310203159.17,1564824.92,273448.38,1942401.06,197268.34,210699.73,204504.84,467928.46,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-27,107308074.03,1524537.4,140230.83,760045.35,385946.44,162479.23,189148.13,330651.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2016-01-03,103324675.7,40292.32,35121.48,349083.44,62548.32,86604.61,31050.84,29391.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-10,102028158.41,674091.2,50117.04,670600.6,105824.95,133350.59,26850.84,77911.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-17,85073744.26,826102.15,52157.53,401192.22,100632.82,14158.56,48332.41,31970.91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-24,89894742.56,713664.74,6537.2,389151.14,108312.81,93355.97,48664.11,45624.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-31,117121842.21,855176.26,85593.49,293687.16,46813.87,131371.09,41682.57,78792.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,75144838.55,14523.97,123776.39,226925.63,125066.07,153854.56,71928.29,221543.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,128713899.25,859345.97,78619.3,152734.62,125161.21,102104.53,32794.26,111637.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2016-02-21,60278891.63,895779.6,30234.3,90273.07,49166.11,51992.25,53171.51,637.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,105280763.23,664221.46,30864.42,169524.39,67901.12,59080.36,35010.15,117319.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,73654346.26,539997.89,26886.6,128557.52,164108.97,89287.27,66889.62,52496.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,113440995.99,1203379.72,42651.45,177216.46,186111.3,92602.41,45194.35,132866.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,143654952.89,771055.79,138091.22,257625.1,256106.6,140467.86,48185.41,174787.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,67122312.16,515298.67,74644.37,333428.48,188684.46,87405.74,84822.31,203735.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-03,110779367.43,33248.64,76426.96,57403.78,178406.61,100660.4,62899.01,154940.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,68204099.72,668008.06,63592.54,238522.75,191432.67,179457.19,33626.64,186989.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,99556654.51,1405607.13,42108.75,45974.35,83276.05,65682.11,39486.13,21026.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,165602892.66,884510.2,103235.86,119487.21,281805.76,183663.98,70134.16,189185.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,174368273.52,610727.06,106551.47,370121.5,218474.52,151302.63,157479.95,285824.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-08,66646331.64,619188.55,44409.03,239094.99,90809.23,14476.74,68736.91,37358.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-05-15,67617395.77,869680.29,24506.87,89494.17,96751.37,93462.97,71041.2,87611.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-22,126107351.85,852681.36,77355.24,66580.69,128465.64,116023.47,154024.32,231118.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-29,143648301.55,199935.92,113228.22,230020.87,228372.45,151978.85,181307.48,149066.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-06-05,68397609.52,1185013.81,56830.19,78757.55,230154.82,94834.08,101870.24,64743.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,97823796.06,648159.69,96239.69,192386.66,271001.15,93982.99,151361.53,289070.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-19,105193697.87,902120.46,36827.56,145213.25,181033.27,45044.44,56615.66,103734.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-26,113971716.44,232204.77,122887.36,98080.9,183526.61,125124.81,55889.29,220477.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-03,71210800.01,443815.63,54874.87,163660.23,129993.71,104323.95,73716.15,204858.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-10,66022045.4,571661.59,72642.59,179295.28,104305.18,240.02,131574.69,80911.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-07-17,104938423.34,603827.5,33639.15,205032.92,99005.46,240.02,82994.03,50928.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-24,57017204.54,943683.3,38895.42,70239.92,105276.17,29001.8,141695.22,31712.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-31,77125173.33,670909.25,68521.18,288903.67,209646.52,117107.56,36145.37,225332.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-07,64000886.49,151868.09,127497.59,141862.45,219626.23,73230.66,74160.46,105608.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-14,102923206.78,464688.65,54198.95,71360.01,114844.22,151341.73,35890.76,71656.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-21,108513225.54,984331.81,58450.28,52271.95,237628.07,64767.54,38741.95,133754.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-28,115056568.23,724748.75,149618.38,108934.87,282179.52,85270.01,18034.83,283034.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-04,75518111.47,764365.96,126800.4,150019.15,327533.99,235586.48,33498.98,133937.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-09-11,68229325.69,592454.74,18272.73,109076.14,318266.31,149704.32,43443.48,124984.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-18,62915357.98,2409895.71,47097.8,125286.26,169059.04,69372.99,25507.12,225935.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-25,80091189.52,682478.84,50618.94,91954.89,317086.17,126336.4,24143.12,218553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-02,68618219.82,534123.27,66543.96,176858.46,161783.92,67202.89,54446.19,104187.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09,69966642.38,47215.59,78224.04,84466.07,323700.52,73362.0,135520.23,98747.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-16,121312405.05,1312056.51,54778.4,128694.67,152512.73,97071.01,113743.06,98926.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-23,110198692.88,402987.61,56047.11,54539.93,141006.24,74023.88,112340.19,55822.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,109784965.94,640132.7,86783.97,83652.66,175959.56,78879.26,259463.61,71784.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-06,69495018.46,1325468.33,101439.84,216329.27,399241.56,159031.12,275269.3,243147.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-11-13,174019427.77,1366941.5,124240.64,115733.1,508278.98,145433.84,338496.73,356995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-20,265788168.07,59313.96,419609.64,361914.91,444669.29,139059.45,573355.55,297054.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2016-11-27,151062046.75,2355608.33,63230.35,111781.5,573219.18,88746.1,232823.24,348645.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04,259719662.78,1105873.6,102413.37,213650.51,528740.65,148687.84,327829.09,407887.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-11,154023467.97,906122.25,164451.2,126884.88,283347.03,111669.22,143930.42,656573.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-18,189536481.14,2028217.51,123762.13,383258.47,412173.88,152060.54,298601.25,535978.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,99669934.27,216536.92,119702.92,279412.64,198045.53,297860.4,244872.65,228445.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01-01,104023957.59,212827.47,31615.0,165686.71,94902.09,105422.49,65304.96,35981.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-01-08,96574619.29,1007081.94,40626.16,89072.07,69863.29,36460.48,63554.96,72210.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-15,52057906.0,985800.74,47913.78,81406.52,78790.65,54133.36,136631.61,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-01-22,84864091.63,869958.33,4907.5,63944.57,164161.88,45821.71,137187.29,27014.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,100451183.71,321094.17,70816.51,34731.11,98321.84,56184.09,85844.85,72855.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-05,66227975.58,793715.64,67345.18,93142.22,65595.46,187228.53,53001.49,159550.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-12,109866157.77,157192.64,146432.88,83437.88,93605.84,149665.62,51093.86,102169.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-02-19,109305541.44,354843.36,104715.05,7833.19,92512.09,135220.5,83089.04,102781.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-02-26,64020794.79,380885.17,26963.29,73577.39,77863.21,68060.55,65827.95,85245.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-05,90067292.47,595291.09,35033.42,80075.92,227815.82,80065.86,53907.14,146962.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12,127073880.4,337251.26,16822.56,31330.42,264341.8,109302.59,65567.41,71861.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-19,67672459.41,1474481.78,35924.52,18177.57,284508.48,160122.2,60383.86,120443.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26,124073331.44,345688.18,105262.19,118178.53,158879.82,71526.49,93006.99,66199.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-02,112436155.09,587199.26,24994.76,117617.59,281687.62,121327.42,129480.69,198491.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-09,68505073.43,67191.78,70981.43,67898.37,270906.27,180033.45,132336.46,65282.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-16,89370191.65,1148043.82,19711.54,7763.45,242894.34,72725.66,70831.2,30639.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-23,135435178.34,660338.72,45647.24,35660.82,237939.99,25088.19,86829.12,37274.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,82601539.99,877154.1,39307.69,52021.47,304838.68,90468.93,61858.01,201340.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,88817326.0,508618.45,61208.05,120315.17,293172.92,133871.26,153491.86,251405.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
